PC,eigenvalue_top5
PC1,0.0067750267
PC2,0.0036928032
PC3,0.0034351342
PC4,0.0023226845
PC5,0.0013890362
PC6,0.0011905449
PC7,5.4308435e-05
PC8,1.757372e-05
PC9,2.3903349e-06
PC10,0.0
