PC,eigenvalue_top10
PC1,0.0067750267
PC2,0.0036928032
PC3,0.0034351342
PC4,0.0024002057
PC5,0.0023226845
PC6,0.001957724
PC7,0.0018335168
PC8,0.0016232416
PC9,0.0013890362
PC10,0.0012318064
PC11,0.0011905449
PC12,0.0008165172
PC13,7.296399e-05
PC14,5.4308435e-05
PC15,1.757372e-05
PC16,1.6460148e-05
PC17,2.3903349e-06
PC18,0.0
PC19,0.0
PC20,-2.0270296e-19
