peer_item,covariance,cosine,n_common
B00TKIJGDA,1.3946541547775269,0.7617241729698506,3
B000006B4Y,1.1749169826507568,0.8224918768148801,3
B00HSJ2CVQ,0.6965923309326172,0.6393061289360187,3
B00NCDVVLY,0.5079284906387329,0.5184040787762192,3
B0090JBOC0,0.390682578086853,0.27574810286246876,5
B00005RFHF,0.2489861696958542,0.6396047035047064,5
6303162290,0.150472491979599,0.43014192493525977,3
B00PH1H6TK,0.08640819787979126,0.1789113416388337,3
B00J22YU62,0.014812268316745758,0.01759548584640732,3
B00SFRHKAI,-0.06810113787651062,-0.10310925864473348,3
